,Label,Message,Vectors
89,ham,"ela kano.,il download, come wen ur free..","[0, 0, 0, 1, 0]"
90,ham,yeah do! don���t stand to close tho- you���ll catch something!,"[0, 0, 0, 0, 0]"
91,ham,sorry to be a pain. is it ok if we meet another night? i spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that. sorry.,"[0, 0, 0, 0, 0]"
92,ham,smile in pleasure smile in pain smile when trouble pours like rain smile when sum1 hurts u smile becoz someone still loves to see u smiling!!,"[0, 0, 0, 0, 0]"
93,spam,please call our customer service representative on 0800 169 6031 between 10am-9pm as you have won a guaranteed �1000 cash or �5000 prize!,"[1, 0, 0, 0, 0]"
94,ham,havent planning to buy later. i check already lido only got 530 show in e afternoon. u finish work already?,"[0, 0, 0, 0, 0]"
95,spam,"your free ringtone is waiting to be collected. simply text the password \mix\"" to 85069 to verify. get usher and britney. fml","[0, 1, 0, 0, 0]"
96,ham,watching telugu movie..wat abt u?,"[0, 0, 0, 0, 0]"
97,ham,i see. when we finish we have loads of loans to pay,"[0, 0, 0, 0, 0]"
98,ham,"hi. wk been ok - on hols now! yes on for a bit of a run. forgot that i have hairdressers appointment at four so need to get home n shower beforehand. does that cause prob for u?\""
ham""","[0, 0, 0, 0, 0]"
99,ham,please don't text me anymore. i have nothing else to say.,"[0, 0, 0, 0, 0]"
100,ham,okay name ur price as long as its legal! wen can i pick them up? y u ave x ams xx,"[0, 0, 0, 1, 0]"
101,ham,i'm still looking for a car to buy. and have not gone 4the driving test yet.,"[0, 0, 0, 0, 0]"
102,ham,as per your request 'melle melle (oru minnaminunginte nurungu vettam)' has been set as your callertune for all callers. press *9 to copy your friends callertune,"[0, 0, 0, 0, 0]"
103,ham,"wow. you're right! i didn't mean to do that. i guess once i gave up on boston men and changed my search location to nyc, something changed. cuz on my signin page it still says boston.","[0, 0, 0, 0, 0]"
104,ham,umma my life and vava umma love you lot dear,"[0, 0, 0, 0, 0]"
105,ham,thanks a lot for your wishes on my birthday. thanks you for making my birthday truly memorable.,"[0, 0, 0, 0, 0]"
106,ham,"aight, i'll hit you up when i get some cash","[0, 0, 0, 0, 0]"
107,ham,how would my ip address test that considering my computer isn't a minecraft server,"[0, 0, 0, 0, 0]"
108,ham,i know! grumpy old people. my mom was like you better not be lying. then again i am always the one to play jokes...,"[0, 0, 0, 0, 0]"
109,ham,dont worry. i guess he's busy.,"[0, 0, 0, 0, 0]"
110,ham,what is the plural of the noun research?,"[0, 0, 0, 0, 0]"
111,ham,going for dinner.msg you after.,"[0, 0, 0, 0, 0]"
112,ham,i'm ok wif it cos i like 2 try new things. but i scared u dun like mah. cos u said not too loud.,"[0, 0, 1, 0, 0]"
113,spam,gent! we are trying to contact you. last weekends draw shows that you won a �1000 prize guaranteed. call 09064012160. claim code k52. valid 12hrs only. 150ppm,"[1, 0, 0, 0, 0]"
114,ham,"wa, ur openin sentence very formal... anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...haha... so anythin special happened?","[0, 0, 0, 1, 0]"
115,ham,"as i entered my cabin my pa said, '' happy b'day boss !!''. i felt special. she askd me 4 lunch. after lunch she invited me to her apartment. we went there.","[0, 0, 0, 0, 0]"
116,spam,you are a winner u have been specially selected 2 receive �1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+),"[0, 0, 1, 0, 0]"
117,ham,goodo! yes we must speak friday - egg-potato ratio for tortilla needed!,"[0, 0, 0, 0, 0]"
118,ham,hmm...my uncle just informed me that he's paying the school directly. so pls buy food.,"[0, 0, 0, 0, 0]"
119,spam,private! your 2004 account statement for 07742676969 shows 786 unredeemed bonus points. to claim call 08719180248 identifier code: 45239 expires,"[1, 0, 0, 0, 0]"
120,spam,"urgent! your mobile no. was awarded �2000 bonus caller prize on 5/9/03 this is our final try to contact u! call from landline 09064019788 box42wr29c, 150ppm","[1, 0, 0, 0, 0]"
121,ham,here is my new address -apples&pairs&all that malarky,"[0, 0, 0, 0, 0]"
122,spam,todays voda numbers ending 7548 are selected to receive a $350 award. if you have a match please call 08712300220 quoting claim code 4041 standard rates app,"[1, 0, 0, 0, 0]"
123,ham,i am going to sao mu today. will be done only at 12,"[0, 0, 0, 0, 0]"
124,ham,�� predict wat time �_'ll finish buying?,"[0, 0, 0, 0, 0]"
125,ham,"good stuff, will do.","[0, 0, 0, 0, 0]"
126,ham,"just so that you know,yetunde hasn't sent money yet. i just sent her a text not to bother sending. so its over, you dont have to involve yourself in anything. i shouldn't have imposed anything on you in the first place so for that, i apologise.","[0, 0, 0, 0, 0]"
127,ham,are you there in room.,"[0, 0, 0, 0, 0]"
128,ham,hey girl. how r u? hope u r well me an del r bak! again long time no c! give me a call sum time from lucyxx,"[1, 0, 0, 0, 0]"
129,ham,k..k:)how much does it cost?,"[0, 0, 0, 0, 0]"
130,ham,i'm home.,"[0, 0, 0, 0, 0]"
131,ham,"dear, will call tmorrow.pls accomodate.","[1, 0, 0, 0, 0]"
132,ham,first answer my question.,"[0, 0, 0, 0, 0]"
133,spam,sunshine quiz wkly q! win a top sony dvd player if u know which country the algarve is in? txt ansr to 82277. �1.50 sp:tyrone,"[0, 0, 0, 0, 1]"
134,spam,want 2 get laid tonight? want real dogging locations sent direct 2 ur mob? join the uk's largest dogging network bt txting gravel to 69888! nt. ec2a. 31p.msg@150p,"[0, 0, 1, 1, 0]"
135,ham,i only haf msn. it's yijue@hotmail.com,"[0, 0, 0, 0, 0]"
136,ham,he is there. you call and meet him,"[1, 0, 0, 0, 0]"
137,ham,no no. i will check all rooms befor activities,"[0, 0, 0, 0, 0]"
138,spam,you'll not rcv any more msgs from the chat svc. for free hardcore services text go to: 69988 if u get nothing u must age verify with yr network & try again,"[0, 1, 0, 0, 0]"
139,ham,got c... i lazy to type... i forgot �_ in lect... i saw a pouch but like not v nice...,"[0, 0, 0, 0, 0]"
140,ham,"k, text me when you're on the way","[0, 0, 0, 0, 0]"
141,ham,"sir, waiting for your mail.","[0, 0, 0, 0, 0]"
142,ham,"a swt thought: \nver get tired of doing little things 4 lovable persons..\"" coz..somtimes those little things occupy d biggest part in their hearts.. gud ni8""","[0, 0, 0, 0, 0]"
143,ham,i know you are. can you pls open the back?,"[0, 0, 0, 0, 0]"
144,ham,yes see ya not on the dot,"[0, 0, 0, 0, 0]"
145,ham,whats the staff name who is taking class for us?,"[0, 0, 0, 0, 0]"
146,spam,"freemsg why haven't you replied to my text? i'm randy, sexy, female and live local. luv to hear from u. netcollex ltd 08700621170150p per msg reply stop to end","[0, 0, 0, 0, 0]"
147,ham,ummma.will call after check in.our life will begin from qatar so pls pray very hard.,"[1, 0, 0, 0, 0]"
148,ham,k..i deleted my contact that why?,"[0, 0, 0, 0, 0]"
149,ham,sindu got job in birla soft ..,"[0, 0, 0, 0, 0]"
150,ham,the wine is flowing and i'm i have nevering..,"[0, 0, 0, 0, 0]"
151,ham,yup i thk cine is better cos no need 2 go down 2 plaza mah.,"[0, 0, 1, 0, 0]"
152,ham,ok... ur typical reply...,"[0, 0, 0, 1, 0]"
153,ham,as per your request 'melle melle (oru minnaminunginte nurungu vettam)' has been set as your callertune for all callers. press *9 to copy your friends callertune,"[0, 0, 0, 0, 0]"
154,ham,"you are everywhere dirt, on the floor, the windows, even on my shirt. and sometimes when i open my mouth, you are all that comes flowing out. i dream of my world without you, then half my chores are out too. a time of joy for me, lots of tv shows i.ll see. but i guess like all things you just must exist, like rain, hail and mist, and when my time here is done, you and i become one.","[0, 0, 0, 0, 0]"
155,ham,aaooooright are you at work?,"[0, 0, 0, 0, 0]"
156,ham,i'm leaving my house now...,"[0, 0, 0, 0, 0]"
157,ham,"hello, my love. what are you doing? did you get to that interview today? are you you happy? are you being a good boy? do you think of me?are you missing me ?","[0, 0, 0, 0, 0]"
158,spam,customer service annoncement. you have a new years delivery waiting for you. please call 07046744435 now to arrange delivery,"[1, 0, 0, 0, 0]"
159,spam,you are a winner u have been specially selected 2 receive �1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810,"[0, 0, 1, 0, 0]"
160,ham,keep yourself safe for me because i need you and i miss you already and i envy everyone that see's you in real life,"[0, 0, 0, 0, 0]"
161,ham,new car and house for my parents.:)i have only new job in hand:),"[0, 0, 0, 0, 0]"
162,ham,i'm so in love with you. i'm excited each day i spend with you. you make me so happy.,"[0, 0, 0, 0, 0]"
163,spam,-pls stop bootydelious (32/f) is inviting you to be her friend. reply yes-434 or no-434 see her: www.sms.ac/u/bootydelious stop? send stop frnd to 62468,"[0, 0, 0, 0, 0]"
164,spam,"bangbabes ur order is on the way. u should receive a service msg 2 download ur content. if u do not, goto wap. bangb. tv on ur mobile internet/service menu","[0, 0, 1, 1, 0]"
165,ham,i place all ur points on e cultures module already.,"[0, 0, 0, 1, 0]"
166,spam,urgent! we are trying to contact you. last weekends draw shows that you have won a �900 prize guaranteed. call 09061701939. claim code s89. valid 12hrs only,"[1, 0, 0, 0, 0]"
167,ham,"hi frnd, which is best way to avoid missunderstding wit our beloved one's?","[0, 0, 0, 0, 0]"
168,ham,great escape. i fancy the bridge but needs her lager. see you tomo,"[0, 0, 0, 0, 0]"
169,ham,yes :)it completely in out of form:)clark also utter waste.,"[0, 0, 0, 0, 0]"
170,ham,"sir, i need axis bank account no and bank address.","[0, 0, 0, 0, 0]"
171,ham,"hmmm.. thk sure got time to hop ard... ya, can go 4 free abt... muz call u to discuss liao... ","[1, 1, 0, 0, 0]"
172,ham,what time you coming down later?,"[0, 0, 0, 0, 0]"
173,ham,"bloody hell, cant believe you forgot my surname mr . ill give u a clue, its spanish and begins with m... ","[0, 0, 0, 0, 0]"
174,ham,"well, i'm gonna finish my bath now. have a good...fine night.","[0, 0, 0, 0, 0]"
175,ham,let me know when you've got the money so carlos can make the call,"[1, 0, 0, 0, 0]"
176,ham,u still going to the mall?,"[0, 0, 0, 0, 0]"
177,ham,"turns out my friends are staying for the whole show and won't be back til ~ &lt;#&gt; , so feel free to go ahead and smoke that $ &lt;#&gt;  worth","[0, 1, 0, 0, 0]"
178,ham,text her. if she doesnt reply let me know so i can have her log in,"[0, 0, 0, 0, 0]"
179,ham,hi! you just spoke to maneesha v. we'd like to know if you were satisfied with the experience. reply toll free with yes or no.,"[0, 1, 0, 0, 0]"
180,ham,you lifted my hopes with the offer of money. i am in need. especially when the end of the month approaches and it hurts my studying. anyways have a gr8 weekend,"[0, 0, 0, 0, 0]"
181,ham,lol no. u can trust me.,"[0, 0, 0, 0, 0]"
182,ham,ok. i am a gentleman and will treat you with dignity and respect.,"[0, 0, 0, 0, 0]"
183,ham,"he will, you guys close?","[0, 0, 0, 0, 0]"
184,ham,going on nothing great.bye,"[0, 0, 0, 0, 0]"
185,ham,hello handsome ! are you finding that job ? not being lazy ? working towards getting back that net for mummy ? where's my boytoy now ? does he miss me ?,"[0, 0, 0, 0, 0]"
186,ham,"haha awesome, be there in a minute","[0, 0, 0, 0, 0]"
187,spam,please call our customer service representative on freephone 0808 145 4742 between 9am-11pm as you have won a guaranteed �1000 cash or �5000 prize!,"[1, 0, 0, 0, 0]"
188,ham,have you got xmas radio times. if not i will get it now,"[0, 0, 0, 0, 0]"
189,ham,i jus reached home. i go bathe first. but my sis using net tell u when she finishes k...,"[0, 0, 0, 0, 0]"
190,spam,are you unique enough? find out from 30th august. www.areyouunique.co.uk,"[0, 0, 0, 0, 0]"
191,ham,i'm sorry. i've joined the league of people that dont keep in touch. you mean a great deal to me. you have been a friend at all times even at great personal cost. do have a great week.|,"[0, 0, 0, 0, 0]"
192,ham,hi :)finally i completed the course:),"[0, 0, 0, 0, 0]"
193,ham,it will stop on itself. i however suggest she stays with someone that will be able to give ors for every stool.,"[0, 0, 0, 0, 0]"
194,ham,how are you doing? hope you've settled in for the new school year. just wishin you a gr8 day,"[0, 0, 0, 0, 0]"
195,ham,gud mrng dear hav a nice day,"[0, 0, 0, 0, 0]"
196,ham,did u got that persons story,"[0, 0, 0, 0, 0]"
197,ham,is your hamster dead? hey so tmr i meet you at 1pm orchard mrt?,"[0, 0, 0, 0, 0]"
198,ham,hi its kate how is your evening? i hope i can see you tomorrow for a bit but i have to bloody babyjontet! txt back if u can. :) xxx,"[0, 0, 0, 0, 1]"
199,ham,"found it, enc  &lt;#&gt; , where you at?","[0, 0, 0, 0, 0]"
200,ham,i sent you  &lt;#&gt;  bucks,"[0, 0, 0, 0, 0]"
201,ham,hello darlin ive finished college now so txt me when u finish if u can love kate xxx,"[0, 0, 0, 0, 1]"
202,ham,your account has been refilled successfully by inr  &lt;decimal&gt; . your keralacircle prepaid account balance is rs  &lt;decimal&gt; . your transaction id is kr &lt;#&gt; .,"[0, 0, 0, 0, 0]"
203,ham,goodmorning sleeping ga.,"[0, 0, 0, 0, 0]"
204,ham,u call me alter at 11 ok.,"[1, 0, 0, 0, 0]"
205,ham,�� say until like dat i dun buy ericsson oso cannot oredi lar...,"[0, 0, 0, 0, 0]"
206,ham,"as i entered my cabin my pa said, '' happy b'day boss !!''. i felt special. she askd me 4 lunch. after lunch she invited me to her apartment. we went there.","[0, 0, 0, 0, 0]"
207,ham,"aight yo, dats straight dogg","[0, 0, 0, 0, 0]"
208,ham,you please give us connection today itself before  &lt;decimal&gt;  or refund the bill,"[0, 0, 0, 0, 0]"
209,ham,both :) i shoot big loads so get ready!,"[0, 0, 0, 0, 0]"
210,ham,"what's up bruv, hope you had a great break. do have a rewarding semester.","[0, 0, 0, 0, 0]"
211,ham,home so we can always chat,"[0, 0, 0, 0, 0]"
212,ham,k:)k:)good:)study well.,"[0, 0, 0, 0, 0]"
213,ham,yup... how �_ noe leh...,"[0, 0, 0, 0, 0]"
214,ham,sounds great! are you home now?,"[0, 0, 0, 0, 0]"
215,ham,finally the match heading towards draw as your prediction.,"[0, 0, 0, 0, 0]"
216,ham,tired. i haven't slept well the past few nights.,"[0, 0, 0, 0, 0]"
217,ham,easy ah?sen got selected means its good..,"[0, 0, 0, 0, 0]"
218,ham,i have to take exam with march 3,"[0, 0, 0, 0, 0]"
219,ham,yeah you should. i think you can use your gt atm now to register. not sure but if there's anyway i can help let me know. but when you do be sure you are ready.,"[0, 0, 0, 0, 0]"
220,ham,ok no prob. take ur time.,"[0, 0, 0, 1, 0]"
221,ham,there is os called ubandu which will run without installing in hard disk...you can use that os to copy the important files in system and give it to repair shop..,"[0, 0, 0, 0, 0]"
222,ham,"sorry, i'll call later","[1, 0, 0, 0, 0]"
223,ham,u say leh... of course nothing happen lar. not say v romantic jus a bit only lor. i thk e nite scenery not so nice leh.,"[0, 0, 0, 0, 0]"
224,spam,"500 new mobiles from 2004, must go! txt: nokia to no: 89545 & collect yours today!from only �1 www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18","[0, 0, 0, 0, 0]"
225,ham,would really appreciate if you call me. just need someone to talk to.,"[1, 0, 0, 0, 0]"
226,spam,"will u meet ur dream partner soon? is ur career off 2 a flyng start? 2 find out free, txt horo followed by ur star sign, e. g. horo aries","[0, 0, 1, 1, 1]"
227,ham,hey company elama po mudyadhu.,"[0, 0, 0, 0, 0]"
228,ham,"life is more strict than teacher... bcoz teacher teaches lesson &amp; then conducts exam, but life first conducts exam &amp; then teaches lessons. happy morning. . .","[0, 0, 0, 0, 0]"
229,ham,dear good morning now only i am up,"[0, 0, 0, 0, 0]"
230,ham,get down in gandhipuram and walk to cross cut road. right side &lt;#&gt; street road and turn at first right.,"[0, 0, 0, 0, 0]"
231,ham,dear we are going to our rubber place,"[0, 0, 0, 0, 0]"
232,ham,"sorry battery died, yeah i'm here","[0, 0, 0, 0, 0]"
233,ham,yes:)here tv is always available in work place..,"[0, 0, 0, 0, 0]"
234,spam,text & meet someone sexy today. u can find a date or even flirt its up to u. join 4 just 10p. reply with name & age eg sam 25. 18 -msg recd@thirtyeight pence,"[0, 0, 0, 0, 0]"
235,ham,i have printed it oh. so  &lt;#&gt;  come upstairs,"[0, 0, 0, 0, 0]"
236,ham,or ill be a little closer like at the bus stop on the same street,"[0, 0, 0, 0, 0]"
237,ham,where are you?when wil you reach here?,"[0, 0, 0, 0, 0]"
238,ham,"new theory: argument wins d situation, but loses the person. so dont argue with ur friends just.. . . . kick them &amp; say, i'm always correct.!","[0, 0, 0, 1, 0]"
239,spam,u 447801259231 have a secret admirer who is looking 2 make contact with u-find out who they r*reveal who thinks ur so special-call on 09058094597,"[0, 0, 1, 1, 0]"
240,ham,tomarrow final hearing on my laptop case so i cant.,"[0, 0, 0, 0, 0]"
241,ham,pleassssssseeeeee tel me v avent done sportsx,"[0, 0, 0, 0, 0]"
242,ham,"okay. no no, just shining on. that was meant to be signing, but that sounds better.","[0, 0, 0, 0, 0]"
243,ham,"although i told u dat i'm into baig face watches now but i really like e watch u gave cos it's fr u. thanx 4 everything dat u've done today, i'm touched...","[0, 0, 0, 0, 0]"
244,ham,u don't remember that old commercial?,"[0, 0, 0, 0, 0]"
245,ham,too late. i said i have the website. i didn't i have or dont have the slippers,"[0, 0, 0, 0, 0]"
246,ham,i asked you to call him now ok,"[1, 0, 0, 0, 0]"
247,ham,kallis wont bat in 2nd innings.,"[0, 0, 0, 0, 0]"
248,ham,it didnt work again oh. ok goodnight then. i.ll fix and have it ready by the time you wake up. you are very dearly missed have a good night sleep.,"[0, 0, 0, 0, 0]"
249,spam,congratulations ur awarded 500 of cd vouchers or 125gift guaranteed & free entry 2 100 wkly draw txt music to 87066 tncs www.ldew.com1win150ppmx3age16,"[0, 1, 1, 1, 1]"
250,ham,ranjith cal drpd deeraj and deepak 5min hold,"[0, 0, 0, 0, 0]"
251,ham,"wen ur lovable bcums angry wid u, dnt take it seriously.. coz being angry is d most childish n true way of showing deep affection, care n luv!.. kettoda manda... have nice day da.","[0, 0, 0, 1, 0]"
252,ham,what you doing?how are you?,"[0, 0, 0, 0, 0]"
253,ham,"ups which is 3days also, and the shipping company that takes 2wks. the other way is usps which takes a week but when it gets to lag you may have to bribe nipost to get your stuff.","[0, 0, 0, 0, 0]"
